公司名称,职位,薪资,城市,工作地址,经验要求,学历要求,职位描述
CloudChef,python实习,4k-6k,上海,长阳路2555号,经验应届毕业生,本科及以上,职位描述：岗位职责1.云管理平台Web后端任务编排系统开发2.监控平台的设计与开发3.数据分析平台的设计与开发4.修复产品缺陷5.产品性能优化任职要求1.熟练掌握Pytho，C，C++，Java，Golag中至少一门语言2.熟练使用Liux系统3.有良好的编码习惯4.数据结构和算法基础扎实5.熟悉MySQL等至少一种关系型数据库的原理和操作6.有较强的学习能力、团队合作能力、沟通能力
字节跳动,python开发实习生,7k-8k,上海,五角场黄兴路2218号合生汇17楼,经验应届毕业生,本科及以上,职位描述：职位职责：1、负责网页信息和APP数据抽取、清洗、消重、数据结构化等工作；2、维护现有的数据处理代码并优化。职位要求：1、本科及以上学历，每周能实习4天或以上，连续实习3个月以上；2、优秀的编码能力，有良好的设计模式、数据结构和算法功底；3、掌握golag/java/c++/php/pytho中的一种，对编程有强烈的热情；4、有求知欲，认真负责，乐于协作。
拍拍贷,Python实习生,3k-5k,上海,上海市浦东新区丹桂路999号G1栋,经验应届毕业生,本科及以上,职位描述：【岗位职责】1）结合业务需求持续优化线上系统，并进行规划以及负责系统需求分析、架构设计、模块开发；2）参与设计和实现数据业务监控系统、风控系统、数据管理系统、智能应用系统等；3）设计并开发实现适用于公司环境的标准化自动化工具，持续提升工作效率；4）对互联网行业技术敏感度高且细致，善于思考，乐于发现，对解决具有挑战性问题充满激情。【任职要求】1）有比较丰富的Liux系统使用经验，熟悉PythoWeb2）熟悉以下技术栈优先：html/css/js、Golag、Docker、分布式计算框架3）对主流数据库，如MySQL、PostgresSql、MogoDB等，有使用和相关开发经验；4）了解和掌握一些通用技术的原理，比如tcp/http/smp等协议规范等等；了解数据挖掘、统计模型等5）具备顺畅的沟通能力和主动的学习意识
数旦信息,Python开发实习生,5k-6k,上海,钦州路100号,经验应届毕业生,本科及以上,职位描述：岗位职责】1、负责后端功能的开发、性能优化和单元测试2、负责后端相关文档编写3、参与后端的需求和设计讨论【任职要求】1、全日制本科及以上学历，计算机或相关专业2、熟悉Pytho，编程功底扎实3、熟悉Liux开发环境，熟悉Redis及Mysql等数据库4、具备极强的开发能力、学习能力和抗压能力5、国家级技术类竞赛（如数学建模、ACM）一等奖获奖者优先6、可连续实习半年以上
名片全能王,python开发实习生,4k-6k,上海,万荣路1256、1258号云立方A座11、12层,经验应届毕业生,本科及以上,"职位描述：工作职责:1.参与新闻舆情系统开发；2.参与新闻数据加工，流转，数据产品开发；3.数据相关的后端服务开发;4.参与新技术调研和基础模块开发任职资格:1.计算机相关专业，有扎实的计算机理论基础；2.熟悉Pytho,Java,C/C++,Go等任意开发语言，有良好的编程风格和习惯；3.熟悉网络协议，熟悉liux，mysql，redis等；4.有socket编程经验，熟悉网络开发模式，开源web服务器；5.有较好的交流沟通能力，较强的责任感；"
盒境,Python课研助理,2k-3k,上海,七莘路1839号108财富广场,经验应届毕业生,本科及以上,职位描述：一、岗位职责1、协助课研经理开发Pytho课程；2、Pytho课程包制作，包含素材的寻找、案例的制作、课件的制作；3、在线课程平台的对接和平台所需内容的上传和修改；4、开发过程中培训老师所需要的内容制作；二、任职要求1、大学本科或者硕博在读的计算机科学以及和计算机相关的学生；
哈啰出行,【暑期实习生】数据仓库开发...,4k-6k,上海,秀文路898号西子国际中心,经验应届毕业生,本科及以上,"职位描述：工作职责:1、负责公司离线数据仓库的搭建和维护，包括数据仓库的数据模型设计，包括ODS层设计、DW层设计、数据集市的设计；2、数据处理的调度、数据预处理、数据质量监控系统的设计和开发，参与ETL开发和维护；3、业务数据支持，为日常运营活动提供数据支持；4、参与数据基础架构规划和数据规范制定，保证公司业务报表的输出；5、优化数据存储和计算平台，确保数据平台的可靠运行;6、负责公司准实时、实时数据数据应用开发任职资格:1、2020届，计算机及相关专业本科以上学历；优秀者可转正2、熟悉Liux常用操作，能使用Pytho、Shell等编写脚本语言3.熟悉Hivesql语句编写及其性能调优,熟悉数据仓库建模方法论4.熟悉Hadoop、Spark、Kafka、Flik、hbase、Elasticsearch等的设计原理，熟悉其中一种或几种开源工具的源码更佳；5、熟练掌握Java、Pytho、Scala等任意一种主流开发语言；6、具有良好的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情"
英语流利说,技术实习生（后端）（暑期-有...,4k-6k,上海,长阳路1687号,经验应届毕业生,本科及以上,职位描述：职位描述：1.直接参与公司核心业务后端功能的架构设计与优化、应用开发与测试;2.解决服务、产品建设中遇到的问题，与团队一起攻克难题，不断提升系统性能。任职要求：1.计算机基础知识扎实，包括不限定于操作系统、计算机网络、数据结构和算法；2.熟练掌握至少一门语言，Ruby、Pytho、Golag、C/C++、Java等优先；3.有写测试的习惯，熟悉单元测试和集成测试；4.熟悉如何开发RESTfulAPI，对客户端的开发有一定了解者优先；5.熟悉关系型数据库，如MySQL等，熟悉NoSQL，如Redis等；6.熟练使用Git；7.19年6-9月期间，保证至少2个月的实习时长，每周5天。
酷家乐,测试开发实习生（上海）,4k-6k,上海,峨山路91弄陆家嘴软件园9号楼北塔8楼,经验应届毕业生,本科及以上,职位描述：岗位描述：我们希望你能通过需求分析，设计评审，制定测试计划，设计测试用例，搭建测试环境，执行各级别和类型的测试，缺陷跟踪，来参与到酷家乐产品测试的全流程;我们希望你能站在研发过程的全局，借助最前沿的研发技术和理念，通过测试流程、方法和工具创新，努力提升研发的质量和效率;我们希望你能够站在用户的角度，不断完善产品的用户体验，影响到我们酷家乐的用户和设计师，让他们受益。岗位要求：1.2020届毕业生，熟悉C/C++/Java等至少一种编程语言，有Shell或Ruby/PHP/Perl/Pytho等使用经验者优先;2.熟悉Liux或Uix操作系统;3.熟悉软件的开发测试流程，掌握常用测试用例设计方法，具备设计和开发测试工具和自动化测试框架能力;4.有广泛的技术视野，具备很强的学习能力、分析能力和解决问题的能力;5.喜欢钻研技术，工作积极主动，不断追求产品的完善;6.具备奉献精神，善于沟通，善于团队合作.
百融云创,数据分析实习生,10k-20k,上海,商城路506号新梅联合广场写字楼二期35层,经验应届毕业生,本科及以上,职位描述：岗位职责：1.负责协助企业风控项目的需求调研、数据分析、商业分析以及数据挖掘建模等工作；2.根据公司的实际业务要求，完成较深入的专项数据分析并形成分析报告；3.协助完成模型的构建、维护、部署和评估工作我们希望您：1.数学、统计、计算机等相关专业背景2.熟悉Pytho/Java等主流编程语言3.有相关建模经验、熟知机器学习领域算法更佳
